Number;WoRMS_AphiaID;WoRMS_Name;WoRMS_acc_AphiaID;WoRMS_accName;BQI_treatment;EIG1;EIG2;EIG3;EIG4;EIG5;EIG6;EIG7;EIG8;EIG9;EIG10;EIG11;EIG12;EIG13;EIG14;EIG15;EIG16;EIG17;EIG18;EIG19;ES_SWE
1;0;(blank);0;(blank);delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;379564;(blank);123776;Asterias rubens;379564;11.72;5.85;6.45;5.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;102788;Abludomelita obtusata;102788;Abludomelita obtusata;102788;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;138474;Abra;138474;Abra;138474;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;141433;Abra alba;141433;Abra alba;141433;6.08;5.98;4.99;4.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;141435;Abra nitida;141435;Abra nitida;141435;9.48;11.45;9.51;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;141436;Abra prismatica;141436;Abra prismatica;141436;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;146469;Abyssoninoe hibernica;146469;Abyssoninoe hibernica;146469;9.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;130223;Abyssoninoe scopa;130223;Abyssoninoe scopa;130223;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;138992;Acanthocardia echinata;138992;Acanthocardia echinata;138992;11.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;140627;Acanthodoris pilosa;140627;Acanthodoris pilosa;140627;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;0;Acentria ephemerella;0;Acentria ephemerella;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;146473;Acervochalina limbata;132761;Chalinula limbata;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;101586;Acidostoma;101586;Acidostoma;101586;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;102497;Acidostoma obesum;102497;Acidostoma obesum;102497;12.46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;138681;Aclis minor;138681;Aclis minor;138681;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;138686;Aclis walleri;138686;Aclis walleri;138686;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;137618;Acteon;137618;Acteon;137618;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;138691;Acteon tornatilis;138691;Acteon tornatilis;138691;8.36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;100803;Actinia equina;100803;Actinia equina;100803;NA;4.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;1360;Actiniaria;1360;Actiniaria;1360;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;138709;Aeolidia papillosa;138709;Aeolidia papillosa;138709;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;558775;Aeolosoma hemprichi;558775;Aeolosoma hemprichii;558775;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;140687;Aequipecten opercularis;140687;Aequipecten opercularis;140687;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;130343;Aglaophamus agilis;130343;Aglaophamus agilis;130343;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;547398;Aglaophamus pulcher;547398;Aglaophamus pulcher;547398;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
27;130345;Aglaophamus rubella;130343;Aglaophamus agilis;130345;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
