SD_station_code_All;STATN;HELCOM_subbasin;CNTRY;CLUSTER
2122;OMTF0018;Bay of Mecklenburg;Germany;DE_BoM-1
2189;OM714;Bay of Mecklenburg;Germany;DE_BoM-2
2334;OMMVZBG18;Bay of Mecklenburg;Germany;DE_BoM-3
2539;OMMVZBG05;Bay of Mecklenburg;Germany;DE_BoM-4
2584;OMMB3;Bay of Mecklenburg;Germany;DE_BoM-5
2587;OMMVZBA20;Bay of Mecklenburg;Germany;DE_BoM-6
2590;OMMVZBB22;Bay of Mecklenburg;Germany;DE_BoM-7
2591;OMMVZBC20;Bay of Mecklenburg;Germany;DE_BoM-8
2592;OMMVZBG26;Bay of Mecklenburg;Germany;DE_BoM-9
2598;OMMVZBA15;Bay of Mecklenburg;Germany;DE_BoM-10
2630;OMMB4;Bay of Mecklenburg;Germany;DE_BoM-11
2709;OMMB6;Bay of Mecklenburg;Germany;DE_BoM-12
2730;OMMB7;Bay of Mecklenburg;Germany;DE_BoM-13
2765;OMBMPM2;Bay of Mecklenburg;Germany;DE_BoM-14
GER1;OMMB2;Bay of Mecklenburg;Germany;DE_BoM-15
GER2;OMMB8;Bay of Mecklenburg;Germany;DE_BoM-16
1033;RR3;Bothnian Bay;Finland;BB-FIN1
1035;RR6;Bothnian Bay;Finland;BB-FIN2
1038;BO3;Bothnian Bay;Finland;BB-FIN3
1091;CVI;Bothnian Bay;Finland;BB-FIN4
1108;CV;Bothnian Bay;Finland;BB-FIN5
1110;F9;Bothnian Bay;Finland;BB-FIN6
5744;F9 / A13;Bothnian Bay;Sweden;NAT5
5748;FK 1;Bothnian Bay;Sweden;NAT7
5749;FK2;Bothnian Bay;Sweden;NAT7
5788;H 1;Bothnian Bay;Sweden;NAT7
5789;H 14;Bothnian Bay;Sweden;NAT5
5790;H 2;Bothnian Bay;Sweden;NAT7
5817;JS 5-26;Bothnian Bay;Sweden;NAT7
5913;N 5-1;Bothnian Bay;Sweden;NAT5
5914;N 5-2;Bothnian Bay;Sweden;NAT5
5915;N 5-3;Bothnian Bay;Sweden;NAT5
5916;N 5-4;Bothnian Bay;Sweden;NAT5
5928;N 7-1;Bothnian Bay;Sweden;NAT7
5929;N 7-2;Bothnian Bay;Sweden;NAT7
5930;N 7-3;Bothnian Bay;Sweden;NAT7
5931;N 7-4;Bothnian Bay;Sweden;NAT7
5932;N 7-5;Bothnian Bay;Sweden;NAT7
6005;R 8-10;Bothnian Bay;Sweden;c
6006;R 8-11;Bothnian Bay;Sweden;c
6007;R 8-4;Bothnian Bay;Sweden;c
6008;R 8-5;Bothnian Bay;Sweden;c
6009;R 8-6;Bothnian Bay;Sweden;c
6010;R 8-7;Bothnian Bay;Sweden;c
6011;R 8-8;Bothnian Bay;Sweden;c
6012;R 8-9;Bothnian Bay;Sweden;c
6018;RF 1;Bothnian Bay;Sweden;c
6019;RF 2;Bothnian Bay;Sweden;c
6231;B 3;Bothnian Bay;Sweden;NAT5
6232;B 4;Bothnian Bay;Sweden;NAT5
6233;B 5;Bothnian Bay;Sweden;NAT5
6235;B1-BOTTENVIKEN;Bothnian Bay;Sweden;NAT5
1047;US3;Bothnian Sea;Finland;BS_FIN1
1050;US6B;Bothnian Sea;Finland;BS_FIN2
1051;US5B;Bothnian Sea;Finland;BS_FIN3
1054;MS6;Bothnian Sea;Finland;BS_FIN4
1058;SR3;Bothnian Sea;Finland;BS_FIN5
1059;SR7;Bothnian Sea;Finland;BS_FIN6
1060;SR5;Bothnian Sea;Finland;BS_FIN7
1092;F26;Bothnian Sea;Finland;BS_FIN8
1136;MS3;Bothnian Sea;Finland;BS_FIN9
1138;MS9;Bothnian Sea;Finland;BS_FIN10
11067;PORIKU4;Bothnian Sea;Finland;BS_FIN11
5791;H 50;Bothnian Sea;Sweden;NAT2
5816;JS 4-6;Bothnian Sea;Sweden;NAT4
5868;N 18;Bothnian Sea;Sweden;NAT1_BS
5873;N 2-1;Bothnian Sea;Sweden;NAT2
5875;N 2-2;Bothnian Sea;Sweden;NAT2
5876;N 23;Bothnian Sea;Sweden;NAT1_BS
5877;N 2-3;Bothnian Sea;Sweden;NAT2
5879;N 2-4;Bothnian Sea;Sweden;NAT2
5880;N 25;Bothnian Sea;Sweden;NAT1_BS
5881;N 2-5;Bothnian Sea;Sweden;NAT_Soderhamn_yttre
5883;N 2-6;Bothnian Sea;Sweden;NAT_Soderhamn_yttre
5885;N 2-7;Bothnian Sea;Sweden;NAT_Soderhamn_yttre
