"SampleID","S.stat","ind.station","BQI2009","sensitivitylistname","HELCOM_subbasin","STATN","Lat","Lon","WADEP","MYEAR","Date"
"2255649",24,190,12.3104235774659,"EIG1","Kattegat","ANHOLT E",56.66667,12.11667,53.5,2016,"2016-05-09T00:00:00"
"2255655",25,162,12.6890827585702,"EIG1","Kattegat","FLADEN",57.19117,11.66667,67,2016,"2016-05-09T00:00:00"
"2255674",17,81,10.511377947405,"EIG1","Kattegat","SK32",57.83333,11.5,41,2016,"2016-05-16T00:00:00"
"2255675",11,102,9.06638366385412,"EIG1","Kattegat","SK33",57.75,11.51667,43,2016,"2016-05-16T00:00:00"
"2255676",15,119,10.6624713030551,"EIG1","Kattegat","SK35",57.60917,11.625,59,2016,"2016-05-16T00:00:00"
"2255677",32,194,13.4717143421073,"EIG1","Kattegat","SK36",57.505,11.80417,28,2016,"2016-05-12T00:00:00"
"2255685",21,216,11.7364513272455,"EIG1","Kattegat","SW VINGA GF4",57.55,11.525,76,2016,"2016-05-09T00:00:00"
"2294659",37,293,14.3931648796241,"EIG1","Kattegat","N ÖRESUND_1",56.0942,12.59032,37,2017,"2017-05-24T00:00:00"
"2294660",32,246,14.0532316714289,"EIG1","Kattegat","N ÖRESUND_4",56.14332,12.50155,25.8,2017,"2017-05-24T00:00:00"
"2294661",35,267,14.2742418251099,"EIG1","Kattegat","OVF 1_3",56.20117,12.4745,23.2,2017,"2017-05-24T00:00:00"
"2294662",38,209,14.2849951189885,"EIG1","Kattegat","N ÖRESUND_3",56.21703,12.40785,24,2017,"2017-05-24T00:00:00"
"2294675",46,217,15.110418006279,"EIG1","Kattegat","KATTEGATT UTSJÖ_12",56.996,12.04185,50.4,2017,"2017-05-23T00:00:00"
"2294676",22,71,11.796643465428,"EIG1","Kattegat","KATTEGATT UTSJÖ_1",57.03773,11.80013,48.5,2017,"2017-05-23T00:00:00"
"2294683",20,92,11.3397090483127,"EIG1","Kattegat","KATTEGATT UTSJÖ_11",56.73282,12.25385,38.3,2017,"2017-05-23T00:00:00"
"2294691",23,106,12.1881356677992,"EIG1","Kattegat","ANHOLT E",56.6665,12.1165,52.3,2017,"2017-05-23T00:00:00"
